FECHA,CONCEPTO,PRECIO_PROMEDIO
2014-01-01,alojamiento,43882.1724137931
2014-01-01,comida_fuera,2804.5714285714284
2014-01-01,gas_licuado,10888.33664921466
2014-01-01,mantencion_hogar,14278.778280542987
2014-01-01,parafina,450.0053571428571
2014-01-01,taxi,2124.0140350877195
2014-02-01,alojamiento,41736.724137931036
2014-02-01,comida_fuera,2837.734693877551
2014-02-01,gas_licuado,10918.69162303665
2014-02-01,mantencion_hogar,14265.140271493212
2014-02-01,parafina,493.6392857142857
2014-02-01,taxi,2152.2052631578945
2014-03-01,alojamiento,47129.75862068965
2014-03-01,comida_fuera,2813.3469387755104
2014-03-01,gas_licuado,10289.759162303664
2014-03-01,mantencion_hogar,14416.674208144796
2014-03-01,parafina,497.7267857142857
2014-03-01,taxi,2160.636842105263
2014-04-01,alojamiento,41777.24137931035
2014-04-01,comida_fuera,2721.5102040816328
2014-04-01,gas_licuado,10440.575916230366
2014-04-01,mantencion_hogar,14947.886877828054
2014-04-01,parafina,518.2767857142857
2014-04-01,taxi,2207.035087719298
2014-05-01,alojamiento,42994.08620689655
2014-05-01,comida_fuera,2710.7448979591836
2014-05-01,gas_licuado,10492.741884816754
2014-05-01,mantencion_hogar,13827.972850678732
2014-05-01,parafina,623.7142857142857
2014-05-01,taxi,2122.7894736842104
2014-06-01,alojamiento,43258.637931034486
2014-06-01,comida_fuera,2820.8979591836733
2014-06-01,gas_licuado,10329.58115183246
2014-06-01,mantencion_hogar,13529.927601809955
2014-06-01,parafina,613.7017857142856
2014-06-01,taxi,2191.877192982456
2014-07-01,alojamiento,42364.60344827586
2014-07-01,comida_fuera,2849.9795918367345
2014-07-01,gas_licuado,10184.926701570681
2014-07-01,mantencion_hogar,13226.144796380091
2014-07-01,parafina,617.3035714285714
2014-07-01,taxi,2193.7315789473682
2014-08-01,alojamiento,42507.56896551724
2014-08-01,comida_fuera,2676.0
2014-08-01,gas_licuado,10111.40942408377
2014-08-01,mantencion_hogar,13378.217194570136
2014-08-01,parafina,628.2910714285715
2014-08-01,taxi,2230.3859649122805
2014-09-01,alojamiento,43864.6724137931
